UPC,Brand Name,Product Name,Tags,Size,Type
41163459618,Albertsons ,Chunk Light Tuna ,"Chunk, Light Tuna ", 5 oz.,Fish
41163472204,Albertsons ,Chunk Light Tuna 4 pack (4 - 5oz packs) ,"Chunk, Light Tuna ", 5 oz.,Fish
42187406947,Best Yet ,Salmon with or without bones ,Pink Salmon , 14.75 oz.,Fish
42187425979,Best Yet ,Tuna Chunk ,"Chunk, Light Tuna ", 5 oz.,Fish
86600000206,Bumble Bee ,Chunk Light Tuna in Water ,"Chunk, Light Tuna ", 5 oz.,Fish
86600000701,Bumble Bee ,Pink Salmon ,Pink Salmon , 14.75 oz.,Fish
86600000961,Bumble Bee ,Prime Fillet Alantic Salmon Skinless and Bon ,Pink Salmon , 5 oz.,Fish
86600000992,Bumble Bee ,Skinless Boneless Salmon - Tuna Style ,Pink Salmon , 5 oz.,Fish
86600750712,Bumble Bee ,Sardines in Tomato Sauce ,Sardines , 15 oz.,Fish
8662036,Bumble Bee ,Chunk Light Tuna in Water ,"Chunk, Light Tuna ", 5 oz.,Fish
8667031,Bumble Bee ,Pink Salmon ,Pink Salmon , 14.75 oz.,Fish
8669631,Bumble Bee ,Prime Fillet Alantic Salmon Skinless and Bon ,Pink Salmon , 5 oz.,Fish
8669932,Bumble Bee ,Skinless Boneless Salmon - Tuna Style ,Pink Salmon , 5 oz.,Fish
78415000120,Carnation ,Chunk Light Tuna in Water ,"Chunk, Light Tuna ", 5 oz.,Fish
48000000781,Chicken of the Sea  ,Sardines in Tomato Sauce ,Sardines , 15 oz.,Fish
48000000866,Chicken of the Sea  ,Skinless and Boneless Pink Salmon ,Pink Salmon , 5 oz.,Fish
48000002457,Chicken of the Sea  ,Chunk Light Tuna In Water ,"Chunk, Light Tuna ", 5 oz.,Fish
48000014757,Chicken of the Sea  ,Traditional Pink Salmon ,Pink Salmon , 14.75 oz.,Fish
48000254559,Chicken of the Sea ,Chunk Light Tuna in Water 50% Less Sodiu ,"Chunk, Light Tuna ", 5 oz.,Fish
4807801,Chicken of the Sea  ,Sardines in Tomato Sauce ,Sardines , 15 oz.,Fish
4808606,Chicken of the Sea  ,Skinless and Boneless Pink Salmon ,Pink Salmon , 5 oz.,Fish
73600005737,Empress ,Sardines ,Sardines , 15 oz.,Fish
41303010709,Essential Everyday ,Chunk Light Tuna ,"Chunk, Light Tuna ", 5 oz.,Fish
41303010723,Essential Everyday ,Chunk Light Tuna ,"Chunk, Light Tuna ", 5 oz.,Fish
41303010778,Essential Everyday ,Pink Salmon ,Pink Salmon , 14.75 oz.,Fish
36800281264,Food Club ,Chunk Light Tuna in Water ,"Chunk, Light Tuna ", 5 oz.,Fish
71140203118,Geisha ,Chunk Light Tuna in Water ,"Chunk, Light Tuna ", 5 oz.,Fish
78742082752,Great Value ,Chunk Light Tuna in Water ,"Chunk, Light Tuna ", 5 oz.,Fish
50700551913,Hy-Top ,Tuna ,"Chunk, Light Tuna ", 5 oz.,Fish
11110833013,Kroger ,Pink Salmon ,Pink Salmon , 14.75 oz.,Fish
11110890849,Kroger ,Chunk Light Tuna in Water ,"Chunk, Light Tuna ", 5 oz.,Fish
71524094233,La Preferida ,Sardines in Tomato Sauce ,Sardines , 15 oz.,Fish
71524094301,La Preferida ,Sardines in Hot Tomato Sauce ,Sardines , 15 oz.,Fish
85239211052,Market Pantry ,Chunk Light Tuna ,"Chunk, Light Tuna ", 5 oz.,Fish
15400192415,Natural Directions ,Pink Salmon ,Pink Salmon , 5 oz.,Fish
15400192422,Natural Directions ,Chunk Light Tuna Tongol ,"Chunk, Light Tuna ", 5 oz.,Fish
