UPC,Brand Name,Product Name,Tags
41163459618,Albertsons,Chunk Light Tuna,"Chunk, Light Tuna "
41163472204,Albertsons,Chunk Light Tuna 4 pack (4 - 5oz packs),"Chunk, Light Tuna "
42187406947,Best Yet,Salmon with or without bones,Pink Salmon
42187425979,Best Yet,Tuna Chunk,"Chunk, Light Tuna "
86600000206,Bumble Bee,Chunk Light Tuna in Water,"Chunk, Light Tuna "
86600000701,Bumble Bee,Pink Salmon,Pink Salmon
86600000961,Bumble Bee,Prime Fillet Alantic Salmon Skinless and Bon,Pink Salmon
86600000992,Bumble Bee,Skinless Boneless Salmon - Tuna Style,Pink Salmon
86600750712,Bumble Bee,Sardines in Tomato Sauce,Sardines
8662036,Bumble Bee,Chunk Light Tuna in Water,"Chunk, Light Tuna "
8667031,Bumble Bee,Pink Salmon,Pink Salmon
8669631,Bumble Bee,Prime Fillet Alantic Salmon Skinless and Bon,Pink Salmon
8669932,Bumble Bee,Skinless Boneless Salmon - Tuna Style,Pink Salmon
78415000120,Carnation,Chunk Light Tuna in Water,"Chunk, Light Tuna "
48000000781,Chicken of the Sea ,Sardines in Tomato Sauce,Sardines
48000000866,Chicken of the Sea ,Skinless and Boneless Pink Salmon,Pink Salmon
48000002457,Chicken of the Sea ,Chunk Light Tuna In Water,"Chunk, Light Tuna "
48000014757,Chicken of the Sea ,Traditional Pink Salmon,Pink Salmon
48000254559,Chicken of the Sea,Chunk Light Tuna in Water 50% Less Sodiu,"Chunk, Light Tuna "
4807801,Chicken of the Sea ,Sardines in Tomato Sauce,Sardines
4808606,Chicken of the Sea ,Skinless and Boneless Pink Salmon,Pink Salmon
73600005737,Empress,Sardines,Sardines
41303010709,Essential Everyday,Chunk Light Tuna,"Chunk, Light Tuna "
41303010723,Essential Everyday,Chunk Light Tuna,"Chunk, Light Tuna "
41303010778,Essential Everyday,Pink Salmon,Pink Salmon
36800281264,Food Club,Chunk Light Tuna in Water,"Chunk, Light Tuna "
71140203118,Geisha,Chunk Light Tuna in Water,"Chunk, Light Tuna "
78742082752,Great Value,Chunk Light Tuna in Water,"Chunk, Light Tuna "
50700551913,Hy-Top,Tuna,"Chunk, Light Tuna "
