Mobile Medical Van,Mobile Unit,0,Mobile Road,Cape Town,Western Cape,7490,Cape Town,-33.971099,18.5863365
Bridgeport Clinic,0,0,Bridgeport,Irvine,California,92620,Orange County,33.7066939,-117.7754895
Petaluma Clinic,11 English Street Room 13,11,English Street,Petaluma,California,94952,Sonoma County,38.2319956,-122.644391
Watsonville WIC,18 W Lake Avenue Suite A,18,West Lake Avenue,Watsonville,California,95076,Santa Cruz County,36.9112335,-121.7591988
Central Valley Indian Health,20 North De Witt,20,North Dewitt Avenue,Clovis,California,93612,Fresno County,36.8306046,-119.7048609
Community Hall,22 Maiden Lane,22,Maiden Lane,Alleghany,California,95910,Sierra County,39.560865,-120.8286
Van Ness Avenue,30 Van Ness Avenue Suite 2118,30,Van Ness Avenue,San Francisco,California,94102,San Francisco County,37.7759218,-122.4190548
Long Valley Health Center,50 Branscomb Road,50,Branscomb Road,Laytonville,California,95454,Mendocino County,39.6881808,-123.484219
WIC Office,51 Industrial Parkway Building 1,51,Industrial Parkway,Weaverville,California,96093,Trinity County,40.7099199,-122.9252732
Pinedale,58 E. Herndon Avenue,58,East Herndon Avenue,Fresno,California,93720,Fresno County,36.8374753,-119.7889236
Kern River Health Center,67 Evans Road,67,Evans Road,Wofford Heights,California,93285,Kern County,35.706319,-118.457778
Tracy Family Practice WIC,73 E. 10th Street,73,10th Street,Tracy,California,95376,San Joaquin County,37.738805,-121.4242413
Camp Antelope,73 Camp Antelope Road,73,Camp Antelope Road,Coleville,California,96107,Mono County,38.528812,-119.454946
Alpine County Department of Social Services,75 Diamond Valley Road,75,Diamond Valley Road,Markleeville,California,96120,Alpine County,38.769474,-119.817042
Oroville,82 Table Mountain Boulevard,82,Table Mountain Boulevard,Oroville,California,95965,Butte County,39.5211158,-121.5540769
Arbuckle Family Health Center,89 Putnam Way,89,Putnam Way,Arbuckle,California,95912,Colusa County,39.021033,-122.062341
June Lake Community Center,90 West Granite,90,Granite Avenue,June Lake,California,93529,Mono County,37.7784472,-119.0803999
Contra Costa County Health Department Richmond WIC Office,100 38th Street,100,38th Street,Richmond,California,94805,Contra Costa County,37.9323433,-122.3329564
Point Reyes Community Center,100 6th Street,100,6th Street,Petaluma,California,94952,Marin County,38.0692772,-122.8086519
Herlong Community Center,100 Tamarack Avenue,100,Tamarack Street,Doyle,California,96109,Lassen County,40.1431262,-120.1562569
Inglewood WIC Center,100 South Market Street,100,South Market Street,Inglewood,California,90301,Los Angeles County,33.9629562,-118.3519028
McFarland WIC,106 - 11th Street,106,11th Street,McFarland,California,93250,Kern County,35.674689,-119.239922
"Northeastern Rural Health Clinics, Inc.",106 East Modoc Street,106,East Modoc Street,Alturas,California,96101,Modoc County,41.4826904,-120.5419043
